Fiscal Year,County,Number of Consummated Adoptions,Map ID
2016,Washington,8,48477
2016,Webb,51,48479
2016,Wharton,5,48481
2016,Wheeler,5,48483
2016,Wichita,46,48485
2016,Wilbarger,1,48487
2016,Willacy,10,48489
2016,Williamson,84,48491
2016,Wilson,13,48493
2016,Winkler,0,48495
2016,Wise,11,48497
2016,Wood,25,48499
2016,Yoakum,2,48501
2016,Young,2,48503
2016,Zapata,0,48505
2016,Zavala,8,48507
2017,Anderson,7,48001
2017,Andrews,15,48003
2017,Angelina,40,48005
2017,Aransas,7,48007
2017,Archer,0,48009
2017,Armstrong,0,48011
2017,Atascosa,32,48013
2017,Austin,2,48015
2017,Bailey,5,48017
2017,Bandera,1,48019
2017,Bastrop,27,48021
2017,Baylor,0,48023
2017,Bee,7,48025
2017,Bell,88,48027
2017,Bexar,682,48029
2017,Blanco,11,48031
2017,Borden,0,48033
2017,Bosque,10,48035
2017,Bowie,13,48037
2017,Brazoria,20,48039
2017,Brazos,21,48041
2017,Brewster,0,48043
2017,Briscoe,1,48045
2017,Brooks,0,48047
2017,Brown,28,48049
2017,Burleson,8,48051
2017,Burnet,24,48053
2017,Caldwell,18,48055
2017,Calhoun,4,48057
2017,Callahan,4,48059
2017,Cameron,24,48061
2017,Camp,2,48063
2017,Carson,3,48065
2017,Cass,7,48067
2017,Castro,0,48069
2017,Chambers,1,48071
2017,Cherokee,15,48073
2017,Childress,1,48075
2017,Clay,2,48077
2017,Cochran,0,48079
2017,Coke,2,48081
2017,Coleman,1,48083
2017,Collin,63,48085
2017,Collingsworth,1,48087
2017,Colorado,2,48089
2017,Comal,37,48091
2017,Comanche,5,48093
2017,Concho,0,48095
2017,Cooke,12,48097
2017,Coryell,28,48099
2017,Cottle,0,48101
2017,Crane,0,48103
2017,Crockett,4,48105
2017,Crosby,7,48107
2017,Culberson,0,48109
2017,Dallam,3,48111
2017,Dallas,331,48113
2017,Dawson,5,48115
2017,Deaf Smith,6,48117
2017,Delta,0,48119
2017,Denton,102,48121
2017,Dewitt,0,48123
2017,Dickens,2,48125
2017,Dimmit,3,48127
2017,Donley,7,48129
2017,Duval,2,48131
2017,Eastland,2,48133
2017,Ector,74,48135
2017,Edwards,0,48137
2017,Ellis,31,48139
2017,El Paso,112,48141
2017,Erath,3,48143
2017,Falls,2,48145
