Fiscal Year,County,Number of Consummated Adoptions
2018,Morris,3
2018,Motley,0
2018,Nacogdoches,24
2018,Navarro,14
2018,Newton,6
2018,Nolan,2
2018,Nueces,75
2018,Ochiltree,0
2018,Oldham,0
2018,Orange,32
2018,Palo Pinto,31
2018,Panola,12
2018,Parker,39
2018,Parmer,4
2018,Pecos,1
2018,Polk,7
2018,Potter,46
2018,Presidio,0
2018,Rains,6
2018,Randall,47
2018,Reagan,0
2018,Real,3
2018,Red River,2
2018,Reeves,3
2018,Refugio,0
2018,Roberts,0
2018,Robertson,3
2018,Rockwall,8
2018,Runnels,4
2018,Rusk,11
2018,Sabine,5
2018,San Augustine,0
2018,San Jacinto,0
2018,San Patricio,24
2018,San Saba,2
2018,Schleicher,0
2018,Scurry,0
2018,Shackelford,0
2018,Shelby,4
2018,Sherman,0
2018,Smith,64
2018,Somervell,2
2018,Starr,3
2018,Stephens,0
2018,Sterling,0
2018,Stonewall,0
2018,Sutton,4
2018,Swisher,4
2018,Tarrant,344
2018,Taylor,39
2018,Terrell,0
2018,Terry,5
2018,Throckmorton,0
2018,Titus,3
2018,Tom Green,46
2018,Travis,245
2018,Trinity,2
2018,Tyler,6
2018,Upshur,12
2018,Upton,0
2018,Uvalde,20
2018,Val Verde,5
2018,Van Zandt,31
2018,Victoria,22
2018,Walker,7
2018,Waller,7
2018,Ward,3
2018,Washington,2
2018,Webb,30
2018,Wharton,5
2018,Wheeler,0
2018,Wichita,39
2018,Wilbarger,1
2018,Willacy,4
2018,Williamson,78
2018,Wilson,5
2018,Winkler,3
2018,Wise,17
2018,Wood,9
2018,Yoakum,4
2018,Young,17
2018,Zapata,1
2018,Zavala,2
2019,Anderson,10
2019,Andrews,2
2019,Angelina,35
2019,Aransas,30
2019,Archer,0
2019,Armstrong,0
2019,Atascosa,27
2019,Austin,0
2019,Bailey,0
2019,Bandera,8
2019,Bastrop,23
2019,Baylor,0
2019,Bee,10
2019,Bell,160
2019,Bexar,906
2019,Blanco,2
2019,Borden,0
2019,Bosque,9
2019,Bowie,15
2019,Brazoria,33
2019,Brazos,41
2019,Brewster,1
2019,Briscoe,0
2019,Brooks,4
2019,Brown,26
2019,Burleson,1
2019,Burnet,19
2019,Caldwell,28
2019,Calhoun,2
2019,Callahan,1
2019,Cameron,48
2019,Camp,1
2019,Carson,4
2019,Cass,2
2019,Castro,2
2019,Chambers,6
2019,Cherokee,22
2019,Childress,2
2019,Clay,1
2019,Cochran,0
2019,Coke,6
2019,Coleman,7
2019,Collin,66
2019,Collingsworth,0
2019,Colorado,5
2019,Comal,50
2019,Comanche,2
2019,Concho,0
2019,Cooke,27
2019,Coryell,19
2019,Cottle,0
2019,Crane,3
2019,Crockett,0
2019,Crosby,2
2019,Culberson,0
2019,Dallam,2
2019,Dallas,327
2019,Dawson,0
2019,Deaf Smith,10
2019,Delta,6
2019,Denton,104
2019,Dewitt,0
2019,Dickens,0
2019,Dimmit,2
2019,Donley,2
2019,Duval,0
2019,Eastland,5
2019,Ector,44
2019,Edwards,0
2019,Ellis,31
2019,El Paso,99
2019,Erath,9
2019,Falls,4
2019,Fannin,11
2019,Fayette,2
2019,Fisher,0
2019,Floyd,4
2019,Foard,0
2019,Fort Bend,38
2019,Franklin,3
2019,Freestone,7
2019,Frio,16
2019,Gaines,4
2019,Galveston,60
2019,Garza,0
2019,Gillespie,3
2019,Glasscock,0
2019,Goliad,0
2019,Gonzales,1
2019,Gray,12
2019,Grayson,47
2019,Gregg,32
2019,Grimes,5
2019,Guadalupe,48
2019,Hale,3
2019,Hall,1
2019,Hamilton,0
2019,Hansford,0
2019,Hardeman,0
2019,Hardin,13
